,ECG_P_Peaks,ECG_R_Peaks,ECG_T_Peaks
0,0.015,0.165,0.502
1,0.8,0.968,1.312
2,1.392,1.512,1.832
3,2.312,2.48,2.76
4,3.152,3.312,3.630
5,3.96,4.128,4.465
6,4.792,4.952,5.258
7,5.6,5.76,6.065
8,6.4,6.56,6.868
9,7.2,7.352,7.654
10,7.992,8.152,8.432
11,8.784,8.944,9.296
,9.394,9.496,9.802
