,ECG_P_Peaks,ECG_R_Peaks,ECG_T_Peaks
0,0.768,0.88,1.160
1,1.316,1.432,1.696
2,2.0,2.144,2.424
3,2.696,2.832,3.104
4,3.264,3.408,3.680
5,4.064,4.16,4.434
6,5.104,5.304,5.560
7,5.752,5.88,6.16
8,6.32,6.392,6.656
9,7.272,7.392,7.676
10,7.856,7.952,8.218
11,8.390,8.472,8.736
12,8.844,8.968,9.234
13,9.728,9.904,10.174
14,10.408,10.56,10.832
15,11.0,11.104,11.36
16,11.712,11.848,12.112
17,12.312,12.4,12.648
18,12.838,12.92,13.188
19,13.544,13.664,13.974
20,14.16,14.28,14.544
21,14.888,15.04,15.322
22,15.624,15.784,16.056
23,16.232,16.336,16.592
24,16.832,17.0,17.274
25,18.0,18.136,18.408
26,18.576,18.712,18.968
27,19.106,19.232,19.496
28,19.664,19.744,20.008
29,20.178,20.256,20.52
30,20.824,20.968,21.250
31,21.528,21.656,21.932
32,22.312,22.456,22.732
33,23.08,23.232,23.502
34,23.68,23.808,24.08
35,24.272,24.408,24.672
36,25.056,25.2,25.482
37,25.776,25.936,26.217
38,26.728,26.88,27.174
39,27.416,27.544,27.808
40,27.984,28.12,28.384
41,28.502,28.592,28.856
42,29.104,29.264,29.512
43,30.096,30.232,30.538
44,30.936,31.064,31.336
45,31.524,31.616,31.88
46,32.028,32.12,32.384
47,32.744,32.856,33.142
48,33.832,33.984,34.272
49,34.504,34.616,34.888
50,35.168,35.312,35.592
51,35.8,35.904,36.176
52,36.314,36.392,36.652
53,36.992,37.136,37.416
54,37.592,37.712,37.984
55,38.224,38.344,38.626
56,39.248,39.384,39.672
57,40.016,40.144,40.416
58,40.688,40.832,41.096
59,41.568,41.712,41.992
60,42.368,42.488,42.768
61,43.344,43.456,43.736
62,43.936,44.096,44.368
63,45.016,45.16,45.478
64,45.6,45.72,45.992
65,46.158,46.24,46.512
66,46.84,47.0,47.266
67,47.488,47.608,47.88
68,48.208,48.368,48.656
69,48.88,49.032,49.304
70,49.672,49.808,50.072
71,50.231,50.328,50.584
72,50.816,50.96,51.210
73,51.704,51.84,51.936
74,52.250,52.344,52.608
75,52.714,52.824,53.092
76,53.688,53.824,54.096
77,54.24,54.368,54.64
78,55.048,55.184,55.484
79,56.056,56.296,56.548
80,56.84,57.032,57.304
81,57.584,57.736,58.02
82,58.416,58.544,58.829
83,59.208,59.336,59.616
