,ECG_P_Peaks,ECG_R_Peaks,ECG_T_Peaks
0,0.002,0.218,0.550
1,0.96,1.224,1.56
2,2.416,2.68,3.032
3,3.528,3.696,4.032
4,5.12,5.328,5.672
5,6.608,6.856,7.2
6,8.256,8.456,8.8
7,9.152,9.352,9.688
8,10.296,10.736,11.08
9,11.56,11.864,12.2
10,12.952,13.184,13.536
11,14.32,14.6,14.936
12,15.408,15.76,16.104
13,16.704,16.976,17.32
14,18.024,18.256,18.592
15,19.104,19.36,19.696
16,20.408,20.656,21.0
17,21.312,21.6,21.928
18,22.216,22.52,22.856
19,23.52,23.848,24.192
20,25.504,25.76,26.104
21,27.44,27.744,28.104
22,28.408,28.72,29.056
23,29.592,29.896,30.24
24,30.944,31.192,31.536
25,32.328,32.616,32.96
26,33.824,34.12,34.472
27,35.096,35.336,35.688
28,36.488,36.816,37.168
29,37.712,37.96,38.304
30,39.096,39.352,39.704
31,40.056,40.336,40.68
32,41.512,41.784,42.136
33,42.504,42.704,43.048
34,43.544,43.848,44.192
35,44.464,44.752,45.096
36,45.616,45.968,46.312
37,46.768,47.12,47.464
38,48.208,48.472,48.816
39,49.52,49.96,50.304
40,50.896,51.28,51.632
41,52.12,52.368,52.712
42,53.224,53.44,53.784
43,54.256,54.568,54.912
44,55.248,55.656,56.0
45,56.328,56.584,56.928
46,57.312,57.664,58.008
47,58.448,58.776,59.12
48,59.888,60.168,60.52
