,ECG_P_Peaks,ECG_R_Peaks,ECG_T_Peaks
0,1.12,1.312,1.576
1,2.168,2.384,2.64
2,2.92,3.112,3.368
3,3.976,4.136,4.4
4,4.736,4.904,5.16
5,5.872,5.984,6.248
6,6.576,6.76,7.024
7,7.384,7.512,7.768
8,7.884,8.008,8.32
9,8.496,8.76,9.016
10,9.736,9.816,10.08
11,10.344,10.616,10.88
12,11.216,11.4,11.656
13,11.912,12.128,12.376
14,12.84,12.992,13.248
15,13.72,13.96,14.216
16,14.568,14.76,15.008
17,15.608,15.712,15.968
18,16.728,16.952,17.216
19,18.032,18.16,18.424
20,19.04,19.192,19.456
21,19.744,19.936,20.192
22,20.872,21.032,21.296
23,21.848,21.992,22.248
24,23.08,23.232,23.496
25,23.744,24.016,24.272
26,24.688,24.808,25.064
27,25.312,25.536,25.792
28,26.424,26.544,26.8
29,27.792,27.984,28.24
30,29.096,29.256,29.52
31,29.728,29.936,30.192
32,30.488,30.656,30.912
33,31.224,31.424,31.68
34,31.768,31.912,32.232
35,32.608,32.888,33.16
36,33.472,33.648,33.904
37,34.272,34.392,34.648
38,34.992,35.256,35.512
39,36.0,36.184,36.448
40,36.952,37.16,37.424
41,38.632,38.816,39.088
42,40.136,40.272,40.544
43,41.072,41.248,41.512
44,42.168,42.376,42.64
45,42.96,43.168,43.424
46,43.688,43.968,44.232
47,44.552,44.696,44.96
48,46.056,46.192,46.472
49,46.976,47.128,47.392
50,48.096,48.184,48.456
51,49.144,49.344,49.608
52,49.856,50.112,50.376
53,50.912,51.088,51.36
54,51.552,51.816,52.072
55,52.712,52.896,53.168
56,53.488,53.664,53.92
57,54.992,55.224,55.504
58,55.792,55.952,56.216
59,56.48,56.656,56.92
60,57.264,57.368,57.624
61,58.488,58.744,59.024
62,59.28,59.456,59.72
