,ECG_P_Peaks,ECG_R_Peaks,ECG_T_Peaks
0,0.030,0.144,0.418
1,0.828,0.948,1.216
2,1.616,1.772,2.04
3,2.468,2.588,2.856
4,3.276,3.388,3.656
5,4.1,4.216,4.484
6,4.936,5.052,5.32
7,5.776,5.896,6.168
8,6.612,6.728,6.996
9,7.436,7.552,7.82
10,8.284,8.408,8.684
11,9.152,9.272,9.544
12,10.02,10.136,10.412
13,10.868,10.988,11.256
14,11.7,11.816,12.088
15,12.56,12.68,12.956
16,13.44,13.552,13.82
17,14.284,14.404,14.668
18,15.14,15.256,15.532
19,16.004,16.12,16.392
20,16.872,16.984,17.26
21,17.354,17.416,17.664
22,18.596,18.724,19.012
23,19.436,19.548,19.828
24,20.272,20.392,20.656
25,21.092,21.204,21.48
26,21.896,22.016,22.294
27,22.704,22.82,23.092
28,23.524,23.636,23.904
29,24.34,24.456,24.724
30,25.16,25.276,25.546
31,25.992,26.104,26.376
32,26.442,26.52,26.764
33,27.704,27.812,28.096
34,28.532,28.644,28.916
35,29.356,29.472,29.744
36,30.16,30.276,30.552
37,30.976,31.092,31.368
38,31.824,31.94,32.208
39,32.66,32.776,33.044
40,33.472,33.592,33.864
41,34.324,34.44,34.708
42,35.208,35.324,35.596
43,36.1,36.22,36.5
44,36.992,37.104,37.372
45,37.438,37.516,37.76
46,38.776,38.896,39.184
47,39.672,39.788,40.064
48,40.544,40.656,40.936
49,41.38,41.492,41.764
50,42.208,42.32,42.592
51,43.056,43.168,43.450
52,43.92,44.032,44.306
53,44.768,44.884,45.156
54,45.636,45.752,46.024
55,46.496,46.616,46.888
56,46.990,47.052,47.3
57,48.264,48.396,48.68
58,49.12,49.264,49.532
59,49.972,50.108,50.392
60,50.84,50.976,51.252
61,51.704,51.844,52.116
62,52.58,52.728,53.002
63,53.444,53.588,53.86
64,54.292,54.428,54.704
65,55.184,55.312,55.584
66,56.072,56.188,56.456
67,56.936,57.052,57.324
68,57.792,57.912,58.188
69,58.648,58.764,59.04
