,ECG_P_Peaks,ECG_R_Peaks,ECG_T_Peaks
0,0.712,0.84,1.104
1,1.376,1.52,1.776
2,2.064,2.2,2.456
3,2.556,2.648,2.72
4,2.904,3.016,3.256
5,4.016,4.128,4.424
6,4.696,4.832,5.088
7,5.376,5.512,5.768
8,6.048,6.184,6.44
9,6.72,6.856,7.112
10,7.392,7.52,7.788
11,8.056,8.192,8.456
12,8.728,8.864,9.12
13,9.408,9.544,9.8
14,10.08,10.216,10.472
15,10.556,10.672,10.938
16,11.424,11.56,11.832
17,12.104,12.24,12.496
18,12.784,12.912,13.176
19,13.456,13.584,13.848
20,14.128,14.264,14.52
21,14.620,14.712,14.784
22,14.976,15.072,15.32
23,16.056,16.184,16.482
24,16.744,16.88,17.144
25,17.424,17.56,17.816
26,18.088,18.224,18.48
27,18.752,18.888,19.152
28,19.260,19.344,19.416
29,19.608,19.704,19.952
30,20.688,20.808,21.116
31,21.36,21.504,21.76
32,22.04,22.176,22.432
33,22.712,22.848,23.104
34,23.376,23.512,23.768
35,23.866,23.968,24.032
36,24.224,24.328,24.576
37,25.304,25.432,25.727
38,25.992,26.128,26.384
39,26.664,26.8,27.064
40,27.336,27.464,27.728
41,28.0,28.136,28.392
42,28.519,28.616,28.808
43,28.872,28.976,29.224
44,29.952,30.072,30.368
45,30.64,30.768,31.032
46,31.304,31.44,31.696
47,31.968,32.112,32.368
48,32.64,32.776,33.032
49,33.136,33.24,33.409
50,33.496,33.6,33.848
51,34.584,34.712,35.0
52,35.272,35.4,35.664
53,35.944,36.072,36.336
54,36.608,36.744,37.0
55,37.28,37.408,37.672
56,37.774,37.864,37.936
57,38.12,38.216,38.464
58,39.208,39.328,39.624
59,39.896,40.024,40.288
60,40.568,40.704,40.96
61,41.24,41.376,41.64
62,41.92,42.048,42.312
63,42.418,42.504,42.576
64,42.76,42.864,43.112
65,43.856,43.976,44.112
66,44.544,44.68,44.944
67,45.24,45.36,45.624
68,45.904,46.04,46.296
69,46.576,46.712,46.976
70,47.068,47.16,47.248
71,47.424,47.52,47.768
72,48.528,48.648,48.752
73,49.216,49.352,49.608
74,49.904,50.032,50.296
75,50.584,50.72,50.984
76,51.264,51.4,51.656
77,51.944,52.072,52.336
78,52.616,52.752,53.008
79,53.288,53.424,53.688
80,53.976,54.104,54.368
81,54.656,54.784,55.048
82,55.142,55.232,55.490
83,56.008,56.136,56.408
84,56.704,56.832,57.088
85,57.376,57.512,57.776
86,58.064,58.192,58.456
87,58.736,58.864,59.136
