,ECG_P_Peaks,ECG_R_Peaks,ECG_T_Peaks
0,0.058,0.174,0.381
1,0.624,0.74,0.952
2,1.076,1.196,1.390
3,1.46,1.568,1.812
4,2.264,2.372,2.502
5,2.7,2.796,2.912
6,3.34,3.44,3.552
7,3.972,4.088,4.192
8,4.556,4.672,4.772
9,5.128,5.24,5.352
10,5.68,5.76,5.916
11,6.268,6.384,6.48
12,6.776,6.908,7.044
13,7.4,7.516,7.608
14,7.956,8.06,8.172
15,8.516,8.64,8.736
16,9.064,9.168,9.3
17,9.628,9.744,9.827
18,10.088,10.216,10.354
19,10.74,10.856,11.000
20,11.16,11.308,11.408
21,11.852,11.956,12.047
22,12.428,12.548,12.686
23,13.008,13.128,13.325
24,13.58,13.7,13.815
25,14.024,14.152,14.457
26,14.696,14.804,14.95
27,15.148,15.264,15.443
28,15.708,15.828,15.936
29,16.368,16.476,16.576
30,16.928,17.04,17.145
31,17.352,17.488,17.714
32,18.044,18.148,18.283
33,18.604,18.72,18.852
34,19.104,19.22,19.416
35,19.728,19.84,19.98
36,20.188,20.304,20.444
37,20.84,20.952,21.02
38,21.376,21.492,21.596
39,21.964,22.076,22.172
40,22.524,22.64,22.748
41,23.088,23.204,23.3023
42,23.648,23.76,23.8566
43,24.204,24.32,24.4109
44,24.764,24.88,24.9651
45,25.324,25.44,25.5194
46,25.776,25.868,26.0737
47,26.408,26.524,26.628
48,26.984,27.104,27.212
49,27.4,27.548,27.68
50,28.092,28.212,28.403
51,28.676,28.792,28.953
52,29.112,29.256,29.3253
53,29.808,29.916,30.032
54,30.328,30.46,30.588
55,30.944,31.06,31.148
56,31.516,31.632,31.738
57,31.932,32.076,32.163
58,32.368,32.48,32.616
59,33.084,33.204,33.2813
60,33.792,33.908,33.9467
61,34.396,34.504,34.612
62,34.82,34.96,35.191
63,35.524,35.628,35.77
64,36.112,36.232,36.349
65,36.7,36.82,36.928
66,37.284,37.404,37.548
67,37.684,37.876,37.998
68,38.244,38.368,38.448
69,39.012,39.128,39.286
70,39.592,39.708,39.812
71,40.084,40.208,40.376
72,40.74,40.852,40.94
73,41.316,41.432,41.504
74,41.828,41.968,42.068
75,42.316,42.46,42.6613
76,43.008,43.112,43.2547
77,43.596,43.712,43.848
78,44.036,44.164,44.401
79,44.712,44.82,44.954
80,45.312,45.428,45.507
81,45.824,45.952,46.06
82,46.48,46.592,46.71
83,47.056,47.172,47.36
84,47.468,47.548,47.644
85,48.008,48.116,48.166
86,48.476,48.588,48.688
87,49.16,49.26,49.34
88,49.776,49.892,49.992
89,50.38,50.496,50.5644
90,50.812,50.952,51.1369
91,51.512,51.62,51.7093
92,51.988,52.124,52.2818
93,52.696,52.812,52.8542
94,53.244,53.356,53.4267
95,53.88,53.984,54.103
96,54.452,54.572,54.730
97,54.88,55.028,55.144
98,55.596,55.7,55.769
99,56.204,56.312,56.394
