,ECG_P_Peaks,ECG_R_Peaks,ECG_T_Peaks
0,0.192,0.4,0.633
1,1.112,1.272,1.552
2,2.464,2.624,2.912
3,3.062,3.184,3.424
4,3.976,4.128,4.408
5,4.832,4.976,5.256
6,5.418,5.534,5.787
7,6.304,6.448,6.728
8,7.232,7.392,7.672
9,7.831,7.96,8.203
10,8.552,8.72,9.0
11,9.248,9.384,9.656
12,9.825,9.96,10.202
13,10.6,10.744,11.024
14,11.146,11.232,11.52
15,11.92,12.064,12.336
16,12.792,12.952,13.224
17,13.544,13.696,13.968
18,14.089,14.216,14.454
19,14.88,15.048,15.328
20,15.696,15.848,16.128
21,16.311,16.480,16.722
22,17.072,17.224,17.504
23,17.776,17.928,18.2
24,18.448,18.6,18.872
25,19.005,19.168,19.402
26,19.776,19.928,20.2
27,20.696,20.792,21.064
28,21.464,21.6,21.872
29,22.016,22.168,22.404
30,22.744,22.928,23.2
31,23.496,23.632,23.912
32,24.432,24.584,24.864
33,25.12,25.256,25.536
34,25.662,25.792,26.030
35,26.464,26.608,26.888
36,27.24,27.384,27.656
37,27.84,28.0,28.233
38,28.592,28.752,29.032
39,29.432,29.56,29.832
40,30.096,30.272,30.544
41,30.646,30.768,31.0
42,31.584,31.72,32.0
43,32.272,32.432,32.712
44,32.992,33.144,33.424
45,33.776,33.92,34.192
46,34.528,34.672,34.952
47,35.424,35.584,35.864
48,36.136,36.296,36.568
49,36.676,36.808,37.048
50,37.456,37.608,37.888
51,38.16,38.296,38.576
52,38.936,39.096,39.376
53,39.632,39.792,40.064
54,40.188,40.32,40.547
55,40.984,41.136,41.408
56,41.704,41.848,42.128
57,42.344,42.448,42.688
58,43.216,43.312,43.6
59,44.016,44.128,44.4
60,44.562,44.722,44.948
61,45.352,45.496,45.776
62,46.016,46.168,46.448
63,46.608,46.76,47.0
64,47.488,47.632,47.912
65,48.144,48.328,48.6
66,48.760,48.88,49.110
67,49.504,49.664,49.944
68,50.168,50.336,50.608
69,50.84,51.016,51.288
70,51.544,51.696,51.944
71,52.288,52.432,52.72
72,53.048,53.176,53.456
73,53.8,53.976,54.256
74,54.496,54.624,54.876
75,55.208,55.36,55.64
76,55.88,56.04,56.312
77,56.568,56.76,57.04
