,ECG_P_Peaks,ECG_R_Peaks,ECG_T_Peaks
0,0.785,0.892,1.173
1,1.482,1.589,1.874
2,2.204,2.295,2.563
3,2.896,3.008,3.276
4,3.589,3.704,3.99
5,4.325,4.408,4.673
6,5.032,5.114,5.395
7,5.734,5.828,6.098
8,6.448,6.529,6.791
9,7.127,7.228,7.49
10,7.829,7.933,8.193
11,8.51,8.628,8.898
12,9.196,9.327,9.565
13,9.922,10.021,10.281
14,10.594,10.722,11.0
15,11.341,11.429,11.714
16,12.023,12.129,12.41
17,12.726,12.82,13.095
18,13.414,13.514,13.774
19,14.104,14.209,14.489
20,14.817,14.901,15.168
21,15.489,15.587,15.868
22,16.177,16.276,16.556
23,16.874,16.969,17.247
24,17.569,17.662,17.934
25,18.245,18.354,18.627
26,18.817,19.046,19.303
27,19.645,19.74,20.007
28,20.335,20.433,20.702
29,21.016,21.123,21.406
30,21.729,21.818,22.093
31,22.435,22.515,22.793
32,23.116,23.207,23.473
33,23.788,23.889,24.172
34,24.486,24.583,24.86
35,25.205,25.28,25.559
36,25.89,25.977,26.261
37,26.573,26.669,26.95
38,27.258,27.363,27.644
39,27.966,28.055,28.325
40,28.672,28.754,29.01
41,29.34,29.445,29.718
42,30.033,30.138,30.426
43,30.75,30.83,31.109
44,31.441,31.525,31.81
45,32.121,32.214,32.494
46,32.829,32.909,33.192
47,33.493,33.6,33.882
48,34.224,34.297,34.575
49,34.888,34.991,35.266
50,35.612,35.689,35.971
51,36.274,36.38,36.663
52,36.983,37.081,37.362
53,37.702,37.778,38.063
54,38.349,38.475,38.746
55,39.08,39.173,39.446
56,39.75,39.871,40.152
57,40.448,40.559,40.834
58,41.163,41.256,41.538
59,41.854,41.953,42.225
60,42.533,42.651,42.93
61,43.234,43.349,43.621
62,43.937,44.044,44.313
63,44.641,44.739,45.022
64,45.34,45.441,45.719
65,46.063,46.143,46.419
66,46.742,46.832,47.111
67,47.419,47.527,47.806
68,48.139,48.226,48.49
69,48.692,48.925,49.1865
70,49.52,49.614,49.883
71,50.221,50.305,50.575
72,50.905,51.002,51.282
73,51.601,51.697,51.99
74,52.293,52.4,52.674
75,52.994,53.088,53.364
76,53.684,53.782,54.062
77,54.361,54.476,54.75
78,55.089,55.178,55.449
79,55.782,55.874,56.159
80,56.451,56.569,56.86
81,57.177,57.261,57.526
82,57.866,57.958,58.235
83,58.555,58.655,58.92
84,59.249,59.351,59.61
