,ECG_P_Peaks,ECG_R_Peaks,ECG_T_Peaks
0,0.328,0.474,0.622
1,0.97,1.122,1.28
2,2.434,2.636,2.784
3,3.258,3.388,3.536
4,3.866,3.998,4.146
5,5.31,5.51,5.658
6,6.122,6.264,6.454
7,6.868,7.014,7.25
8,8.186,8.386,8.578
9,9.052,9.23,9.5213
10,9.612,9.75,10.4647
11,11.062,11.262,11.408
12,11.884,12.04,12.205
13,12.602,12.76,13.002
14,13.938,14.138,14.286
15,14.744,14.914,15.2633
16,15.362,15.504,16.2407
17,16.814,17.014,17.218
18,17.648,17.77,17.97
19,18.294,18.444,18.722
20,19.69,19.89,20.034
21,20.466,20.606,20.828
22,21.158,21.32,21.622
23,22.566,22.766,22.908
24,23.546,23.648,23.994
25,24.052,24.194,24.502
26,25.444,25.642,25.786
27,26.266,26.42,26.584
28,26.906,27.074,27.382
29,28.32,28.52,28.758
30,29.128,29.268,29.506
31,29.788,29.948,30.254
32,31.198,31.396,31.536
33,32.038,32.166,32.4953
34,32.626,32.76,33.4547
35,34.074,34.272,34.414
36,34.88,35.02,35.196
37,35.582,35.71,35.978
38,36.948,37.148,37.376
39,37.756,37.926,38.131
40,38.412,38.578,38.886
41,39.826,40.024,40.172
42,40.596,40.76,41.1307
43,41.252,41.384,42.0893
44,42.702,42.9,43.048
45,43.518,43.654,43.825
46,44.206,44.336,44.602
47,45.574,45.776,45.916
48,46.35,46.488,46.554
49,47.0,47.14,47.674
50,48.452,48.65,48.794
51,49.328,49.472,49.591
52,49.998,50.156,50.388
53,51.326,51.526,51.668
54,52.166,52.364,52.467
55,52.868,53.054,53.266
56,54.202,54.4,54.542
57,54.978,55.114,55.18
58,55.626,55.766,56.299
59,57.074,57.278,57.418
60,57.934,58.098,58.203
61,58.55,58.71,58.988
62,59.954,60.152,60.384
63,60.796,60.932,61.134
64,61.418,61.58,61.884
65,62.83,63.028,63.172
66,63.666,63.796,64.066
67,64.256,64.39,64.96
68,65.708,65.854,65.904
69,66.532,66.682,66.748
70,67.174,67.334,67.642
