,ECG_P_Peaks,ECG_R_Peaks,ECG_T_Peaks
0,0.775,0.899,1.139
1,1.499,1.625,1.863
2,2.211,2.336,2.576
3,2.909,3.034,3.273
4,3.608,3.734,3.972
5,4.314,4.439,4.678
6,5.039,5.165,5.404
7,5.776,5.9,6.142
8,6.516,6.641,6.88
9,7.272,7.396,7.633
10,8.028,8.153,8.393
11,8.774,8.898,9.141
12,9.508,9.631,9.872
13,10.249,10.373,10.613
14,10.987,11.111,11.35
15,11.717,11.843,12.08
16,12.447,12.571,12.811
17,13.191,13.316,13.555
18,13.94,14.065,14.304
19,14.692,14.817,15.055
20,15.447,15.572,15.81
21,16.22,16.344,16.583
22,16.982,17.107,17.347
23,17.736,17.861,18.099
24,18.486,18.612,18.851
25,19.238,19.363,19.601
26,19.985,20.11,20.348
27,20.732,20.857,21.096
28,21.502,21.628,21.87
29,22.271,22.397,22.636
30,23.037,23.163,23.402
31,23.805,23.93,24.169
32,24.581,24.706,24.946
33,25.345,25.469,25.709
34,26.107,26.231,26.47
35,26.872,26.997,27.237
36,27.636,27.761,28.002
37,28.391,28.517,28.756
38,29.146,29.268,29.508
39,29.896,30.022,30.262
40,30.659,30.784,31.025
41,31.416,31.541,31.782
42,32.173,32.298,32.539
43,32.936,33.062,33.304
44,33.703,33.828,34.065
45,34.465,34.588,34.827
46,35.225,35.351,35.591
47,35.99,36.115,36.355
48,36.748,36.874,37.112
49,37.504,37.627,37.869
50,38.279,38.402,38.64
51,39.067,39.192,39.436
52,39.851,39.976,40.218
53,40.629,40.755,40.997
54,41.427,41.552,41.791
55,42.219,42.343,42.585
56,43.005,43.13,43.37
57,43.785,43.91,44.147
58,44.567,44.692,44.933
59,45.355,45.479,45.72
60,46.139,46.264,46.503
61,46.918,47.042,47.286
62,47.703,47.827,48.068
63,48.491,48.615,48.856
64,49.28,49.406,49.647
65,50.064,50.189,50.43
66,50.85,50.974,51.213
67,51.643,51.769,52.011
68,52.439,52.564,52.805
69,53.224,53.348,53.589
70,54.006,54.131,54.371
71,54.785,54.91,55.152
72,55.558,55.683,55.925
73,56.323,56.448,56.688
74,57.09,57.216,57.456
75,57.854,57.979,58.217
76,58.61,58.734,58.973
