,ECG_P_Peaks,ECG_R_Peaks,ECG_T_Peaks
0,0.846,0.972,1.194
1,1.296,1.389,1.914
2,2.287,2.403,2.634
3,2.811,2.974,3.175
4,3.725,3.848,3.919
5,4.071,4.265,4.638
6,5.166,5.278,5.357
7,5.689,5.81,6.051
8,6.589,6.724,6.948
9,7.058,7.141,7.592
10,8.041,8.157,8.236
11,8.566,8.686,8.928
12,9.478,9.6,9.684
13,9.824,10.017,10.398
14,10.917,11.032,11.112
15,11.444,11.563,11.804
16,12.356,12.476,12.697
17,12.800,12.893,13.341
18,13.794,13.907,13.985
19,14.317,14.44,14.68
20,15.234,15.352,15.575
21,15.668,15.77,16.2215
22,16.667,16.785,16.868
23,17.194,17.316,17.556
24,18.105,18.228,18.3
25,18.451,18.645,19.021
26,19.539,19.662,19.742
27,20.07,20.19,20.432
28,20.98,21.105,21.328
29,21.432,21.522,21.972
30,22.418,22.536,22.616
31,22.945,23.068,23.309
32,23.861,23.981,24.206
33,24.300,24.397,24.85
34,25.301,25.414,25.494
35,25.824,25.945,26.184
36,26.731,26.857,27.08
37,27.180,27.274,27.723
38,28.168,28.292,28.366
39,28.696,28.817,29.061
40,29.611,29.733,29.808
41,29.956,30.15,30.5255
42,31.046,31.164,31.243
43,31.575,31.696,31.937
44,32.487,32.609,32.69
45,32.831,33.026,33.406
46,33.921,34.04,34.122
47,34.449,34.572,34.813
48,35.357,35.485,35.572
49,35.707,35.902,36.2845
50,36.797,36.916,36.997
51,37.324,37.447,37.689
52,38.237,38.361,38.429
53,38.583,38.778,39.151
54,39.683,39.793,39.873
55,40.2,40.324,40.565
56,41.114,41.237,41.462
